abandon			[포기하다]
meaning [의미]		meaningfully  [의미있게]
                      meaningful [의미있는]	
measure [방법], 재다, 치수
meat [고기], [식사]	
mechanical [기계의, 기계적인]	
medically [의학적으로]     medical [의학의, 의료의]
                          medicine [약]
medium [매체, 매개체]	
meet [충족시키다], 대처하다   meeting [회합, 만남]	
memorize [암기하다]          memory [기억, 추억]
mental  [정신적인]	       mentally [정신적으로]	
mention [언급하다]	
merely  [단지]	
merriment 	
mess [엉망으로 만들다] [혼란]
midday [정오, 대낮]	
midst [in the midst of, -의 한가운데에] 
military [군대의, 육군의]
millionaire [백만장자]
mind  [정신, 마음], [꺼려하다]
minister [성직자, 목사]	
minor [중요하지 않은, 사소한], 소수의, 미성년의
minus [부족, 결손, 마이너스]	
minute  [분, in a minute], 미세한	
mischief  [해악, 장난]	
miscommunicate [잘못 의사소통 하다] 	
miss  [놓치다], 그리워하다, 실수
moderation [중용, 온건]
mode [방법, 양식], 유행
moisture [습기]		
monetary [화폐의, 통화의]
mood [기분], 변덕, 서법
moral  도덕적인  	     morality [도덕]
moreover [더욱이, 게다가]
mostly [대개]		
motion [운동]
mount [오르다] [타다=ride]
muddy [진흙의]	mud [진흙]	
mummy [미이라]		
mutual [상호의]	
N
nap [낮잠], [잠깐졸다]
napkin [식탁용 휴지]	
narrow  [좁은] 
natural  [자연의], 타고난, 당연한
naturally  [당연히]	
nature [천성], [자연]
nearly [거의]	
necessarily [반드시, 필연적으로]
necessary  [필요한]
necessitate [~을 필요로 하다]
nectar [과즙, 꿀]	
negative [부정적인]	
neighbor [이웃]	
neighborhood [이웃] [근처]
neither [neither A nor B, A도 아니고 B도 아닌] 	
nervous [신경질(성)의]
never-failing [끊기지 않는, 변하지 않는]
niece [조카딸]	
nigger  [깜둥이]	
noise [소음]	
noisy [소란스러운]	
nonetheless [그럼에도 불구하고]
non-material [비물질적인, 정신적인, 문화적인]
non-profit [비영리적인]
nonviolent [비폭력적인]	
normal  [평범한]	
northeastern [북동쪽의]	
notation [주석], [표시법]
note  [곡조, 음조, 음률]
nowhere [아무데도 - 없다]
nurture [양육하다]
nutritional [영양의]
